宝玉
黛玉,绛珠仙草
宝钗
元春
探春
湘云
妙玉
迎春
惜春
熙凤
巧姐
李纨
可卿
香菱
薛宝琴
尤二姐
尤三姐
邢岫烟
李纹
李绮
宝珠
宝蟾
平儿
娇杏
瑞珠
晴雯
袭人
鸳鸯
小红
金钏
紫鹃
莺儿
麝月
司棋
玉钏
茜雪
柳五儿
秦钟
贾政
贾赦
贾敬
贾母
贾珍
贾琏
贾环
贾瑞
贾蓉
王夫人
邢夫人
尤氏
赵姨娘
薛姨妈
薛蟠
